gerente; Manager
mandar; schicken
pesado; schwer
hacer fila; anstehen
hay que; Man muss
evitar; meiden
antibiótico; Antibiotikum
jarabe; Sirup
va a estar bien; werden gut sein, wird gut sein
temperatura; Temperatur
normal; normal
examen médico; Untersuchung
tener que; müssen
tengo que; muss
esperar a; warten
tienes que; musst
completar; ausfüllen; 
formulario; Formular
lentamente; langsam
poder; können
mover; verschieben, Umzugshelfer, Bewegen
muevo; bewege, Bewege
sala de urgencias; Notaufnahme
llamar a; anrufen
levantar; heben
respirar; atmen
mareado; schwindelig
puedo; darf, Darf, Kann
todo; alles
lámpara; Lampe
alfombra; Teppich
planchar; bügeln
sala; Wohnzimmer
esforzarse; sich bemühen
me esfuerzo; ich bemühe mich
habitación; Zimmer
inodoro; Toilette
armario; Schrank
bañera; Badewanne
balcón; Balkon
colgar; aufhängen
cuelgo; ich hänge auf
secar; trocknen
tendedero; Wäscheständer
escoba; Besen
barrer; fegen
detergente; Reinigungsmittel
esponja; Schwamm
encuentro; ich finde
aspiradora; Staubsauger
lavaplatos; Spülmaschine
almorzar; zu Mittag essen
taza; Tasse
estufa; Herd
sartén; Bratpfanne
en fin; letztendlich
felicitaciones; Glückwunsch
el mejor; der Beste
campeón; Meister
rival; Rivale
últimamente; in letzter Zeit
solucionar; lösen
estar seguro; sicher sein
ansioso; ängstlich
casi siempre; fast immer
excusa; Ausrede
despertador; Wecker
confundirse; sich irren
revisar; überprüfen
exacto; genau
cancha; Spielfeld
jugador; Spieler
sí o sí; so oder so
siguiente; nächste
torneo; Turnier
ganar; gewinnen
foro; Forum
adolescente; Jugendliche
nivel; Level
videollamada; Videoanruf
terminar de; aufhören
wifi; WLAN
tecnología; Technologie
fantasía; Fantasy
competitivo; kompetetiv
más de; mehr als
madrugada; früh morgens
personaje; Figur
ruido; Lärm
el extranjero; das Ausland
Sudamérica; Südamerika
dormir; schlafen
duermo; schlafe, Schlafe
oscuro; dunkel
Europa; Europa
seguramente; sicherlich
red social; soziales Netzwerk
despierto; wach
nos vemos; wir sehen uns
al sur; im Süden
depende; es kommt darauf an
surfear; surfen
ola; Welle
bastantes; genügend
acampar; campen
sendero; Pfad
ir a; gehen
natación; Schwimmen
pilates; pilates
empezar; beginnen
físico; körperlich
ciclismo; Radfahren
durante; während
trotar; joggen
espacio; Platz
demasiados; zu viele
te quiero; ich liebe dich
preocuparse; sich Sorgen machen
especial; besondere
jugar; spielen
perdone; Entschuldigen Sie
zona; Gegend
taxista; Taxifahrer
agotado; erschöpft
y si; und wenn
perrito; Hündchen
conductor; Fahrer
funcionar; funktionieren
patio; Hof
cerrar; schliessen
ventana; Fenster
cierro; ich schliesse
escaparse; weglaufen
cama; Bett
estrés; Stress
firmar; unterschreiben
complicado; kompliziert
